PASSENGERS,DEST_CITY_NAME,YEAR,MONTH
0.00,"Aberdeen, SD",2019,11
0.00,"Akron, OH",2019,3
0.00,"Albany, NY",2019,1
0.00,"Albany, NY",2019,1
0.00,"Albany, NY",2019,1
0.00,"Albany, NY",2019,1
0.00,"Albany, NY",2019,1
0.00,"Albany, NY",2019,1
0.00,"Albany, NY",2019,2
0.00,"Albany, NY",2019,2
0.00,"Albany, NY",2019,2
0.00,"Albany, NY",2019,2
0.00,"Albany, NY",2019,2
0.00,"Albany, NY",2019,3
0.00,"Albany, NY",2019,3
0.00,"Albany, NY",2019,3
0.00,"Albany, NY",2019,3
0.00,"Albany, NY",2019,3
0.00,"Albany, NY",2019,3
0.00,"Albany, NY",2019,3
0.00,"Albany, NY",2019,4
0.00,"Albany, NY",2019,4
0.00,"Albany, NY",2019,4
0.00,"Albany, NY",2019,4
0.00,"Albany, NY",2019,4
0.00,"Albany, NY",2019,4
0.00,"Albany, NY",2019,4
0.00,"Albany, NY",2019,4
0.00,"Albany, NY",2019,5
0.00,"Albany, NY",2019,5
0.00,"Albany, NY",2019,5
0.00,"Albany, NY",2019,5
0.00,"Albany, NY",2019,5
0.00,"Albany, NY",2019,5
0.00,"Albany, NY",2019,5
0.00,"Albany, NY",2019,5
0.00,"Albany, NY",2019,6
0.00,"Albany, NY",2019,6
0.00,"Albany, NY",2019,6
0.00,"Albany, NY",2019,6
0.00,"Albany, NY",2019,6
0.00,"Albany, NY",2019,6
0.00,"Albany, NY",2019,6
0.00,"Albany, NY",2019,6
0.00,"Albany, NY",2019,6
0.00,"Albany, NY",2019,6
0.00,"Albany, NY",2019,7
0.00,"Albany, NY",2019,7
0.00,"Albany, NY",2019,7
0.00,"Albany, NY",2019,7
0.00,"Albany, NY",2019,7
0.00,"Albany, NY",2019,7
0.00,"Albany, NY",2019,7
0.00,"Albany, NY",2019,7
0.00,"Albany, NY",2019,7
0.00,"Albany, NY",2019,7
0.00,"Albany, NY",2019,8
0.00,"Albany, NY",2019,8
0.00,"Albany, NY",2019,8
0.00,"Albany, NY",2019,8
0.00,"Albany, NY",2019,8
0.00,"Albany, NY",2019,8
0.00,"Albany, NY",2019,8
0.00,"Albany, NY",2019,8
0.00,"Albany, NY",2019,8
0.00,"Albany, NY",2019,8
0.00,"Albany, NY",2019,8
0.00,"Albany, NY",2019,8
0.00,"Albany, NY",2019,8
0.00,"Albany, NY",2019,9
0.00,"Albany, NY",2019,9
0.00,"Albany, NY",2019,9
0.00,"Albany, NY",2019,9
0.00,"Albany, NY",2019,9
0.00,"Albany, NY",2019,9
0.00,"Albany, NY",2019,9
0.00,"Albany, NY",2019,9
0.00,"Albany, NY",2019,9
0.00,"Albany, NY",2019,9
0.00,"Albany, NY",2019,10
0.00,"Albany, NY",2019,10
0.00,"Albany, NY",2019,10
0.00,"Albany, NY",2019,10
0.00,"Albany, NY",2019,10
0.00,"Albany, NY",2019,10
0.00,"Albany, NY",2019,10
0.00,"Albany, NY",2019,10
0.00,"Albany, NY",2019,10
0.00,"Albany, NY",2019,11
0.00,"Albany, NY",2019,11
0.00,"Albany, NY",2019,11
0.00,"Albany, NY",2019,11
0.00,"Albany, NY",2019,11
0.00,"Albany, NY",2019,11
0.00,"Albany, NY",2019,11
0.00,"Albany, NY",2019,11
0.00,"Albany, NY",2019,11
0.00,"Albany, NY",2019,12
0.00,"Albany, NY",2019,12
0.00,"Albany, NY",2019,12
0.00,"Albany, NY",2019,12
0.00,"Albany, NY",2019,12
0.00,"Albany, NY",2019,12
0.00,"Albany, NY",2019,12
0.00,"Albany, NY",2019,12
0.00,"Albany, NY",2019,12
0.00,"Albany, NY",2019,12
0.00,"Alexandria, LA",2019,2
0.00,"Allentown/Bethlehem/Easton, PA",2019,12
0.00,"Anchorage, AK",2019,1
0.00,"Anchorage, AK",2019,1
0.00,"Anchorage, AK",2019,1
0.00,"Anchorage, AK",2019,2
0.00,"Anchorage, AK",2019,2
0.00,"Anchorage, AK",2019,3
0.00,"Anchorage, AK",2019,3
0.00,"Anchorage, AK",2019,3
0.00,"Anchorage, AK",2019,3
0.00,"Anchorage, AK",2019,4
0.00,"Anchorage, AK",2019,4
0.00,"Anchorage, AK",2019,4
0.00,"Anchorage, AK",2019,5
0.00,"Anchorage, AK",2019,5
0.00,"Anchorage, AK",2019,5
0.00,"Anchorage, AK",2019,6
0.00,"Anchorage, AK",2019,6
0.00,"Anchorage, AK",2019,6
0.00,"Anchorage, AK",2019,7
0.00,"Anchorage, AK",2019,7
0.00,"Anchorage, AK",2019,8
0.00,"Anchorage, AK",2019,8
0.00,"Anchorage, AK",2019,8
0.00,"Anchorage, AK",2019,9
0.00,"Anchorage, AK",2019,9
0.00,"Anchorage, AK",2019,9
0.00,"Anchorage, AK",2019,9
0.00,"Anchorage, AK",2019,9
