PASSENGERS,FREIGHT,UNIQUE_CARRIER_NAME,DEST_CITY_NAME,YEAR,MONTH
0.00,0.00,Ameristar Air Cargo,"Niagara Falls, NY",2023,1
0.00,0.00,Ameristar Air Cargo,"Rocky Mount, NC",2023,1
0.00,0.00,Atlas Air Inc.,"Cincinnati, OH",2023,1
0.00,0.00,Atlas Air Inc.,"Indianapolis, IN",2023,1
0.00,0.00,Atlas Air Inc.,"Los Angeles, CA",2023,1
0.00,0.00,Atlas Air Inc.,"New York, NY",2023,1
0.00,0.00,Atlas Air Inc.,"New York, NY",2023,1
0.00,0.00,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Buffalo, NY",2023,1
0.00,0.00,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Charlotte, NC",2023,1
0.00,0.00,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Clarksburg/Fairmont, WV",2023,1
0.00,0.00,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"East Farmingdale, NY",2023,1
0.00,0.00,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Nashville, TN",2023,1
0.00,0.00,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Sarasota/Bradenton, FL",2023,1
0.00,0.00,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Smyrna, TN",2023,1
0.00,0.00,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Smyrna, TN",2023,1
0.00,0.00,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Smyrna, TN",2023,1
0.00,0.00,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"West Palm Beach/Palm Beach, FL",2023,1
0.00,0.00,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2023,1
0.00,0.00,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2023,1
0.00,0.00,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2023,1
0.00,0.00,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2023,1
0.00,0.00,Cape Air,"Martha's Vineyard, MA",2023,1
0.00,0.00,Cape Air,"Nantucket, MA",2023,1
0.00,0.00,Cape Air,"White Plains, NY",2023,1
0.00,0.00,Cape Air,"White Plains, NY",2023,1
0.00,0.00,CommuteAir LLC dba CommuteAir,"Albany, NY",2023,1
0.00,0.00,"Global Crossing Airlines, Inc.","Bedford, MA",2023,1
0.00,0.00,"Global Crossing Airlines, Inc.","Champaign/Urbana, IL",2023,1
0.00,0.00,"Global Crossing Airlines, Inc.","Detroit, MI",2023,1
0.00,0.00,"Global Crossing Airlines, Inc.","Indianapolis, IN",2023,1
0.00,0.00,"Global Crossing Airlines, Inc.","Miami, FL",2023,1
0.00,0.00,"Global Crossing Airlines, Inc.","Miami, FL",2023,1
0.00,0.00,"Global Crossing Airlines, Inc.","Raleigh/Durham, NC",2023,1
0.00,0.00,"Global Crossing Airlines, Inc.","Raleigh/Durham, NC",2023,1
0.00,0.00,"Global Crossing Airlines, Inc.","State College, PA",2023,1
0.00,0.00,"Global Crossing Airlines, Inc.","State College, PA",2023,1
0.00,0.00,"Global Crossing Airlines, Inc.","Syracuse, NY",2023,1
0.00,0.00,"Global Crossing Airlines, Inc.","Syracuse, NY",2023,1
0.00,0.00,"Global Crossing Airlines, Inc.","Syracuse, NY",2023,1
0.00,0.00,"Global Crossing Airlines, Inc.","Syracuse, NY",2023,1
0.00,0.00,"Global Crossing Airlines, Inc.","Syracuse, NY",2023,1
0.00,0.00,"Global Crossing Airlines, Inc.","Syracuse, NY",2023,1
0.00,0.00,"Global Crossing Airlines, Inc.","Washington, DC",2023,1
0.00,0.00,"Global Crossing Airlines, Inc.","White Plains, NY",2023,1
0.00,0.00,"Global Crossing Airlines, Inc.","White Plains, NY",2023,1
0.00,0.00,Kalitta Air LLC,"Los Angeles, CA",2023,1
0.00,0.00,Kalitta Air LLC,"Newburgh/Poughkeepsie, NY",2023,1
0.00,0.00,Kalitta Charters II,"Detroit, MI",2023,1
